film,tmdb_id,poster_path,certification,premiere_date,theatrical_date,theatrical_type,streaming_date,streaming_platform,notes,source
Another World,1545931,/zhpoQAYDqvSB3DWvxCJA2LF5VRT.jpg,,,,,,,,tmdb
Artificial,1586108,/pxPmvPaOp1c9XXnsM52a96dlKhB.jpg,,,,,,,,tmdb
Bunker,1725917,/ypmLUbXlDRUV4hLti4zPOkvPRb2.jpg,,,,,,,,tmdb
Couture,1390382,/pie2ouNdXYKEMXtF2Kvj0H4LzOr.jpg,,,,,,,,tmdb
Ink,1706744,/5N5c3UMns2vZIWpiPcgpv3GTKKB.jpg,,,,,,,,tmdb
Prima Facie,1127282,/yUEYSFKwbguMH6OmkJtbtpkWYch.jpg,,,,,,,,tmdb
Tangles,1316999,/uYPnma0qO28Sk6OtkU3H6f5ySex.jpg,,,,,,,,tmdb
